abbreviate,"축약하다, 단축하다","Please abbreviate your explanation to make it shorter.","설명을 축약해서 더 간결하게 만드세요."
accommodate,"수용하다","This hotel can accommodate 500 guests.","이 호텔은 500명의 손님을 수용할 수 있습니다."
accuse A of B,"B를 이유로 A를 고발하다","He was accused of stealing the money.","그는 돈을 훔친 혐의로 고발당했습니다."
acquaint,"익히다, 숙지하다","She took time to acquaint herself with the new system.","그녀는 새 시스템을 숙지하는 데 시간을 들였습니다."
adamantly,"확고하게","He adamantly refused to change his mind.","그는 확고하게 마음을 바꾸지 않겠다고 했습니다."
adequate,"적절한","The food was adequate for a small gathering.","그 음식은 작은 모임에 적절했습니다."
adhere,"고수하다","You must adhere to the rules of the game.","당신은 게임의 규칙을 고수해야 합니다."
adhesive,"점착성의","The adhesive tape stuck to the wall firmly.","점착 테이프가 벽에 단단히 붙었습니다."
alleviate,"줄이다, 완화하다","The medicine helped alleviate his pain.","약이 그의 고통을 줄이는 데 도움이 되었습니다."
amendment,"개정","The constitution underwent its first amendment.","헌법이 첫 번째 개정을 거쳤습니다."
anticipate,"예상하다","We anticipate heavy traffic during the holiday.","우리는 휴일 동안 교통 체증을 예상합니다."
approve,"승인하다, 찬성하다","The manager approved the budget proposal.","매니저가 예산 제안을 승인했습니다."
aspect,"면, 측면","We must consider every aspect of the plan.","우리는 계획의 모든 측면을 고려해야 합니다."
aspire,"열망하다","She aspires to become a great artist.","그녀는 위대한 예술가가 되기를 열망합니다."
assess,"평가하다, 감정하다","The teacher will assess the students' performance.","교사가 학생들의 성과를 평가할 것입니다."
assume,"맡다, 취하다","He will assume responsibility for the project.","그는 프로젝트의 책임을 맡을 것입니다."
assure,"보증하다, 안심시키다","I assure you that everything will be fine.","모든 것이 괜찮을 것이라고 보증합니다."
apparently,"외관상으로는, 분명히","Apparently, he is the most qualified candidate.","외관상으로는 그가 가장 적격인 후보입니다."
as to,"~에 관하여","There is no question as to his honesty.","그의 정직함에 관해서는 의문이 없습니다."
assign,"임무를 할당하다","The teacher assigned homework to the students.","교사가 학생들에게 숙제를 할당했습니다."
associate,"관련시키다","I associate the smell of cookies with my childhood.","저는 쿠키 냄새를 제 어린 시절과 연관시킵니다."
attendant,"안내원, 참석자","The attendant helped the visitors find their seats.","안내원이 방문객들이 좌석을 찾도록 도와주었습니다."
attentive,"주의 깊은, 경청하는","She was attentive during the lecture.","그녀는 강의 중에 주의 깊게 경청했습니다."
attraction,관광명소,"The Eiffel Tower is a famous tourist attraction.","에펠탑은 유명한 관광명소입니다."
attribute,~에 귀착시키다,"He attributes his success to hard work.","그는 자신의 성공을 노력 덕분으로 돌립니다."
